[2026-01-07 14:04:03] project: galaxian
[2026-01-07 14:04:03] logger/dir: logger
[2026-01-07 14:04:03] env/max_episode_steps: 400
[2026-01-07 14:04:03] train/lr: 1e-3
[2026-01-07 14:04:03] sampling/percentile: 80
[2026-01-07 14:04:03] sampling/batch_size: 300
[2026-01-07 14:04:03] sampling/epochs: 50
[2026-01-07 14:04:03] export/tensorboard: runs
[2026-01-07 14:04:03] export/video_folder: video
[2026-01-07 14:04:03] export/model: galaxian.pth
[2026-01-07 14:04:03] session_id: quiet_hill_4398
[2026-01-07 14:22:11] [4]: loss=1.790581, reward_mean=486.4, rw_bound=600.0
[2026-01-07 14:22:12] [4]: loss=1.788710, reward_mean=486.4, rw_bound=600.0
[2026-01-07 14:22:12] [4]: loss=1.789308, reward_mean=486.4, rw_bound=600.0
[2026-01-07 14:22:12] [4]: loss=1.789396, reward_mean=486.4, rw_bound=600.0
[2026-01-07 14:22:12] [4]: loss=1.789074, reward_mean=486.4, rw_bound=600.0
[2026-01-07 14:22:12] [4]: loss=1.788629, reward_mean=486.4, rw_bound=600.0
[2026-01-07 14:22:12] [4]: loss=1.788149, reward_mean=486.4, rw_bound=600.0
[2026-01-07 14:22:13] [4]: loss=1.787620, reward_mean=486.4, rw_bound=600.0
[2026-01-07 14:22:13] [4]: loss=1.788065, reward_mean=486.4, rw_bound=600.0
[2026-01-07 14:22:13] [4]: loss=1.790376, reward_mean=486.4, rw_bound=600.0
[2026-01-07 14:22:13] [4]: loss=1.788367, reward_mean=486.4, rw_bound=600.0
[2026-01-07 14:22:13] [4]: loss=1.788246, reward_mean=486.4, rw_bound=600.0
[2026-01-07 14:22:13] [4]: loss=1.788061, reward_mean=486.4, rw_bound=600.0
[2026-01-07 14:22:13] [4]: loss=1.787525, reward_mean=486.4, rw_bound=600.0
[2026-01-07 14:22:14] [4]: loss=1.787195, reward_mean=486.4, rw_bound=600.0
[2026-01-07 14:22:14] [4]: loss=1.786749, reward_mean=486.4, rw_bound=600.0
[2026-01-07 14:22:14] [4]: loss=1.786438, reward_mean=486.4, rw_bound=600.0
[2026-01-07 14:26:32] [5]: loss=1.787051, reward_mean=489.1, rw_bound=620.0
[2026-01-07 14:26:32] [5]: loss=1.787165, reward_mean=489.1, rw_bound=620.0
[2026-01-07 14:26:32] [5]: loss=1.786868, reward_mean=489.1, rw_bound=620.0
[2026-01-07 14:26:32] [5]: loss=1.786545, reward_mean=489.1, rw_bound=620.0
[2026-01-07 14:26:32] [5]: loss=1.786423, reward_mean=489.1, rw_bound=620.0
[2026-01-07 14:26:32] [5]: loss=1.785940, reward_mean=489.1, rw_bound=620.0
[2026-01-07 14:26:33] [5]: loss=1.785757, reward_mean=489.1, rw_bound=620.0
[2026-01-07 14:26:33] [5]: loss=1.785344, reward_mean=489.1, rw_bound=620.0
[2026-01-07 14:26:33] [5]: loss=1.785062, reward_mean=489.1, rw_bound=620.0
