[2026-01-06 22:21:14] project: galaxian
[2026-01-06 22:21:14] logger/dir: logger
[2026-01-06 22:21:14] env/max_episode_steps: 200
[2026-01-06 22:21:14] train/lr: 1e-3
[2026-01-06 22:21:14] sampling/percentile: 80
[2026-01-06 22:21:14] sampling/batch_size: 300
[2026-01-06 22:21:14] sampling/epochs: 50
[2026-01-06 22:21:14] export/tensorboard: runs
[2026-01-06 22:21:14] export/video_folder: video
[2026-01-06 22:21:14] export/model: galaxian.pth
[2026-01-06 22:21:14] session_id: broken_moon_c93b
[2026-01-06 22:30:46] [4]: loss=1.778458, reward_mean=253.5, rw_bound=330.0
[2026-01-06 22:30:46] [4]: loss=1.778243, reward_mean=253.5, rw_bound=330.0
[2026-01-06 22:30:46] [4]: loss=1.778146, reward_mean=253.5, rw_bound=330.0
[2026-01-06 22:30:46] [4]: loss=1.777450, reward_mean=253.5, rw_bound=330.0
[2026-01-06 22:30:46] [4]: loss=1.776981, reward_mean=253.5, rw_bound=330.0
[2026-01-06 22:30:46] [4]: loss=1.776546, reward_mean=253.5, rw_bound=330.0
[2026-01-06 22:30:46] [4]: loss=1.776136, reward_mean=253.5, rw_bound=330.0
[2026-01-06 22:30:46] [4]: loss=1.775692, reward_mean=253.5, rw_bound=330.0
[2026-01-06 22:30:47] [4]: loss=1.775202, reward_mean=253.5, rw_bound=330.0
[2026-01-06 22:30:47] [4]: loss=1.774708, reward_mean=253.5, rw_bound=330.0
[2026-01-06 22:30:47] [4]: loss=1.774259, reward_mean=253.5, rw_bound=330.0
[2026-01-06 22:30:47] [4]: loss=1.773757, reward_mean=253.5, rw_bound=330.0
[2026-01-06 22:30:47] [4]: loss=1.773346, reward_mean=253.5, rw_bound=330.0
[2026-01-06 22:30:47] [4]: loss=1.772689, reward_mean=253.5, rw_bound=330.0
[2026-01-06 22:30:47] [4]: loss=1.772283, reward_mean=253.5, rw_bound=330.0
[2026-01-06 22:30:47] [4]: loss=1.771779, reward_mean=253.5, rw_bound=330.0
[2026-01-06 22:30:47] [4]: loss=1.771262, reward_mean=253.5, rw_bound=330.0
[2026-01-06 22:32:51] [5]: loss=1.772009, reward_mean=265.7, rw_bound=340.0
[2026-01-06 22:32:52] [5]: loss=1.771708, reward_mean=265.7, rw_bound=340.0
[2026-01-06 22:32:52] [5]: loss=1.770857, reward_mean=265.7, rw_bound=340.0
[2026-01-06 22:32:52] [5]: loss=1.770113, reward_mean=265.7, rw_bound=340.0
[2026-01-06 22:32:52] [5]: loss=1.769353, reward_mean=265.7, rw_bound=340.0
[2026-01-06 22:32:52] [5]: loss=1.768785, reward_mean=265.7, rw_bound=340.0
[2026-01-06 22:32:52] [5]: loss=1.767901, reward_mean=265.7, rw_bound=340.0
[2026-01-06 22:32:52] [5]: loss=1.767147, reward_mean=265.7, rw_bound=340.0
[2026-01-06 22:32:52] [5]: loss=1.766584, reward_mean=265.7, rw_bound=340.0
[2026-01-06 22:32:52] [5]: loss=1.766323, reward_mean=265.7, rw_bound=340.0
[2026-01-06 22:32:52] [5]: loss=1.767061, reward_mean=265.7, rw_bound=340.0
[2026-01-06 22:32:52] [5]: loss=1.765591, reward_mean=265.7, rw_bound=340.0
[2026-01-06 22:32:52] [5]: loss=1.764717, reward_mean=265.7, rw_bound=340.0
[2026-01-06 22:32:52] [5]: loss=1.763642, reward_mean=265.7, rw_bound=340.0
[2026-01-06 22:32:52] [5]: loss=1.763105, reward_mean=265.7, rw_bound=340.0
[2026-01-06 22:32:53] [5]: loss=1.761996, reward_mean=265.7, rw_bound=340.0
[2026-01-06 22:32:53] [5]: loss=1.761459, reward_mean=265.7, rw_bound=340.0
[2026-01-06 22:32:53] [5]: loss=1.760614, reward_mean=265.7, rw_bound=340.0
[2026-01-06 22:32:53] [5]: loss=1.759446, reward_mean=265.7, rw_bound=340.0
[2026-01-06 22:32:53] [5]: loss=1.758653, reward_mean=265.7, rw_bound=340.0
[2026-01-06 22:34:58] [6]: loss=1.759117, reward_mean=268.4, rw_bound=340.0
[2026-01-06 22:34:58] [6]: loss=1.758459, reward_mean=268.4, rw_bound=340.0
[2026-01-06 22:34:58] [6]: loss=1.757413, reward_mean=268.4, rw_bound=340.0
[2026-01-06 22:34:58] [6]: loss=1.756232, reward_mean=268.4, rw_bound=340.0
[2026-01-06 22:34:58] [6]: loss=1.755223, reward_mean=268.4, rw_bound=340.0
[2026-01-06 22:34:58] [6]: loss=1.754102, reward_mean=268.4, rw_bound=340.0
[2026-01-06 22:34:58] [6]: loss=1.752977, reward_mean=268.4, rw_bound=340.0
[2026-01-06 22:34:58] [6]: loss=1.753202, reward_mean=268.4, rw_bound=340.0
[2026-01-06 22:34:58] [6]: loss=1.757651, reward_mean=268.4, rw_bound=340.0
[2026-01-06 22:34:59] [6]: loss=1.754752, reward_mean=268.4, rw_bound=340.0
[2026-01-06 22:34:59] [6]: loss=1.754263, reward_mean=268.4, rw_bound=340.0
[2026-01-06 22:34:59] [6]: loss=1.750877, reward_mean=268.4, rw_bound=340.0
[2026-01-06 22:34:59] [6]: loss=1.752854, reward_mean=268.4, rw_bound=340.0
[2026-01-06 22:34:59] [6]: loss=1.749241, reward_mean=268.4, rw_bound=340.0
[2026-01-06 22:34:59] [6]: loss=1.749798, reward_mean=268.4, rw_bound=340.0
[2026-01-06 22:34:59] [6]: loss=1.748085, reward_mean=268.4, rw_bound=340.0
[2026-01-06 22:34:59] [6]: loss=1.746868, reward_mean=268.4, rw_bound=340.0
[2026-01-06 22:34:59] [6]: loss=1.745871, reward_mean=268.4, rw_bound=340.0
[2026-01-06 22:34:59] [6]: loss=1.744647, reward_mean=268.4, rw_bound=340.0
[2026-01-06 22:34:59] [6]: loss=1.743688, reward_mean=268.4, rw_bound=340.0
[2026-01-06 22:37:05] [7]: loss=1.748893, reward_mean=272.6, rw_bound=360.0
[2026-01-06 22:37:05] [7]: loss=1.748701, reward_mean=272.6, rw_bound=360.0
[2026-01-06 22:37:05] [7]: loss=1.747026, reward_mean=272.6, rw_bound=360.0
[2026-01-06 22:37:05] [7]: loss=1.746207, reward_mean=272.6, rw_bound=360.0
[2026-01-06 22:37:05] [7]: loss=1.744744, reward_mean=272.6, rw_bound=360.0
[2026-01-06 22:37:05] [7]: loss=1.743080, reward_mean=272.6, rw_bound=360.0
[2026-01-06 22:37:05] [7]: loss=1.741569, reward_mean=272.6, rw_bound=360.0
[2026-01-06 22:37:05] [7]: loss=1.740265, reward_mean=272.6, rw_bound=360.0
[2026-01-06 22:37:05] [7]: loss=1.738651, reward_mean=272.6, rw_bound=360.0
[2026-01-06 22:37:05] [7]: loss=1.737567, reward_mean=272.6, rw_bound=360.0
[2026-01-06 22:37:05] [7]: loss=1.736617, reward_mean=272.6, rw_bound=360.0
[2026-01-06 22:37:05] [7]: loss=1.735339, reward_mean=272.6, rw_bound=360.0
[2026-01-06 22:37:05] [7]: loss=1.733303, reward_mean=272.6, rw_bound=360.0
[2026-01-06 22:37:06] [7]: loss=1.731887, reward_mean=272.6, rw_bound=360.0
[2026-01-06 22:37:06] [7]: loss=1.730317, reward_mean=272.6, rw_bound=360.0
[2026-01-06 22:37:06] [7]: loss=1.728447, reward_mean=272.6, rw_bound=360.0
[2026-01-06 22:37:06] [7]: loss=1.727249, reward_mean=272.6, rw_bound=360.0
[2026-01-06 22:37:06] [7]: loss=1.725879, reward_mean=272.6, rw_bound=360.0
[2026-01-06 22:37:06] [7]: loss=1.724042, reward_mean=272.6, rw_bound=360.0
[2026-01-06 22:37:06] [7]: loss=1.722230, reward_mean=272.6, rw_bound=360.0
[2026-01-06 22:39:11] [8]: loss=1.724601, reward_mean=296.9, rw_bound=370.0
[2026-01-06 22:39:11] [8]: loss=1.723803, reward_mean=296.9, rw_bound=370.0
[2026-01-06 22:39:11] [8]: loss=1.722540, reward_mean=296.9, rw_bound=370.0
[2026-01-06 22:39:11] [8]: loss=1.722220, reward_mean=296.9, rw_bound=370.0
[2026-01-06 22:39:11] [8]: loss=1.719607, reward_mean=296.9, rw_bound=370.0
[2026-01-06 22:39:11] [8]: loss=1.717011, reward_mean=296.9, rw_bound=370.0
[2026-01-06 22:39:11] [8]: loss=1.715584, reward_mean=296.9, rw_bound=370.0
[2026-01-06 22:39:11] [8]: loss=1.712895, reward_mean=296.9, rw_bound=370.0
[2026-01-06 22:39:12] [8]: loss=1.711943, reward_mean=296.9, rw_bound=370.0
[2026-01-06 22:39:12] [8]: loss=1.709612, reward_mean=296.9, rw_bound=370.0
[2026-01-06 22:39:12] [8]: loss=1.707556, reward_mean=296.9, rw_bound=370.0
[2026-01-06 22:39:12] [8]: loss=1.705990, reward_mean=296.9, rw_bound=370.0
[2026-01-06 22:39:12] [8]: loss=1.704319, reward_mean=296.9, rw_bound=370.0
[2026-01-06 22:39:12] [8]: loss=1.702684, reward_mean=296.9, rw_bound=370.0
[2026-01-06 22:39:12] [8]: loss=1.700538, reward_mean=296.9, rw_bound=370.0
[2026-01-06 22:39:12] [8]: loss=1.699035, reward_mean=296.9, rw_bound=370.0
[2026-01-06 22:39:12] [8]: loss=1.698734, reward_mean=296.9, rw_bound=370.0
[2026-01-06 22:39:12] [8]: loss=1.697604, reward_mean=296.9, rw_bound=370.0
[2026-01-06 22:39:12] [8]: loss=1.696370, reward_mean=296.9, rw_bound=370.0
[2026-01-06 22:39:12] [8]: loss=1.693416, reward_mean=296.9, rw_bound=370.0
[2026-01-06 22:41:17] [9]: loss=1.705059, reward_mean=296.3, rw_bound=360.0
[2026-01-06 22:41:18] [9]: loss=1.706647, reward_mean=296.3, rw_bound=360.0
[2026-01-06 22:41:18] [9]: loss=1.702519, reward_mean=296.3, rw_bound=360.0
[2026-01-06 22:41:18] [9]: loss=1.701217, reward_mean=296.3, rw_bound=360.0
[2026-01-06 22:41:18] [9]: loss=1.698371, reward_mean=296.3, rw_bound=360.0
[2026-01-06 22:41:18] [9]: loss=1.697038, reward_mean=296.3, rw_bound=360.0
[2026-01-06 22:41:18] [9]: loss=1.694457, reward_mean=296.3, rw_bound=360.0
[2026-01-06 22:41:18] [9]: loss=1.692585, reward_mean=296.3, rw_bound=360.0
[2026-01-06 22:41:18] [9]: loss=1.689974, reward_mean=296.3, rw_bound=360.0
[2026-01-06 22:41:18] [9]: loss=1.688352, reward_mean=296.3, rw_bound=360.0
[2026-01-06 22:41:18] [9]: loss=1.685460, reward_mean=296.3, rw_bound=360.0
[2026-01-06 22:41:19] [9]: loss=1.683794, reward_mean=296.3, rw_bound=360.0
[2026-01-06 22:41:19] [9]: loss=1.681714, reward_mean=296.3, rw_bound=360.0
[2026-01-06 22:41:19] [9]: loss=1.679492, reward_mean=296.3, rw_bound=360.0
[2026-01-06 22:41:19] [9]: loss=1.677367, reward_mean=296.3, rw_bound=360.0
[2026-01-06 22:41:19] [9]: loss=1.675475, reward_mean=296.3, rw_bound=360.0
[2026-01-06 22:41:19] [9]: loss=1.674008, reward_mean=296.3, rw_bound=360.0
[2026-01-06 22:41:19] [9]: loss=1.672212, reward_mean=296.3, rw_bound=360.0
[2026-01-06 22:41:19] [9]: loss=1.669591, reward_mean=296.3, rw_bound=360.0
[2026-01-06 22:41:19] [9]: loss=1.666656, reward_mean=296.3, rw_bound=360.0
[2026-01-06 22:43:24] [10]: loss=1.663840, reward_mean=320.6, rw_bound=410.0
[2026-01-06 22:43:24] [10]: loss=1.668766, reward_mean=320.6, rw_bound=410.0
[2026-01-06 22:43:24] [10]: loss=1.673758, reward_mean=320.6, rw_bound=410.0
[2026-01-06 22:43:24] [10]: loss=1.661310, reward_mean=320.6, rw_bound=410.0
[2026-01-06 22:43:24] [10]: loss=1.663832, reward_mean=320.6, rw_bound=410.0
[2026-01-06 22:43:24] [10]: loss=1.657002, reward_mean=320.6, rw_bound=410.0
[2026-01-06 22:43:25] [10]: loss=1.654094, reward_mean=320.6, rw_bound=410.0
[2026-01-06 22:43:25] [10]: loss=1.651312, reward_mean=320.6, rw_bound=410.0
[2026-01-06 22:43:25] [10]: loss=1.647186, reward_mean=320.6, rw_bound=410.0
[2026-01-06 22:43:25] [10]: loss=1.645337, reward_mean=320.6, rw_bound=410.0
[2026-01-06 22:43:25] [10]: loss=1.641105, reward_mean=320.6, rw_bound=410.0
[2026-01-06 22:43:25] [10]: loss=1.638096, reward_mean=320.6, rw_bound=410.0
[2026-01-06 22:43:25] [10]: loss=1.635260, reward_mean=320.6, rw_bound=410.0
[2026-01-06 22:43:25] [10]: loss=1.631262, reward_mean=320.6, rw_bound=410.0
[2026-01-06 22:43:25] [10]: loss=1.628233, reward_mean=320.6, rw_bound=410.0
[2026-01-06 22:43:25] [10]: loss=1.625207, reward_mean=320.6, rw_bound=410.0
[2026-01-06 22:43:25] [10]: loss=1.621628, reward_mean=320.6, rw_bound=410.0
[2026-01-06 22:43:25] [10]: loss=1.618393, reward_mean=320.6, rw_bound=410.0
[2026-01-06 22:43:25] [10]: loss=1.614671, reward_mean=320.6, rw_bound=410.0
[2026-01-06 22:43:26] [10]: loss=1.611252, reward_mean=320.6, rw_bound=410.0
[2026-01-06 22:45:29] [11]: loss=1.618205, reward_mean=321.9, rw_bound=400.0
[2026-01-06 22:45:29] [11]: loss=1.617440, reward_mean=321.9, rw_bound=400.0
[2026-01-06 22:45:29] [11]: loss=1.622624, reward_mean=321.9, rw_bound=400.0
[2026-01-06 22:45:30] [11]: loss=1.623059, reward_mean=321.9, rw_bound=400.0
[2026-01-06 22:45:30] [11]: loss=1.615294, reward_mean=321.9, rw_bound=400.0
[2026-01-06 22:45:30] [11]: loss=1.610511, reward_mean=321.9, rw_bound=400.0
[2026-01-06 22:45:30] [11]: loss=1.608979, reward_mean=321.9, rw_bound=400.0
[2026-01-06 22:45:30] [11]: loss=1.602074, reward_mean=321.9, rw_bound=400.0
[2026-01-06 22:45:30] [11]: loss=1.600178, reward_mean=321.9, rw_bound=400.0
[2026-01-06 22:45:30] [11]: loss=1.592128, reward_mean=321.9, rw_bound=400.0
[2026-01-06 22:45:30] [11]: loss=1.591696, reward_mean=321.9, rw_bound=400.0
[2026-01-06 22:45:30] [11]: loss=1.585036, reward_mean=321.9, rw_bound=400.0
[2026-01-06 22:45:30] [11]: loss=1.582752, reward_mean=321.9, rw_bound=400.0
[2026-01-06 22:45:30] [11]: loss=1.577885, reward_mean=321.9, rw_bound=400.0
[2026-01-06 22:45:30] [11]: loss=1.575021, reward_mean=321.9, rw_bound=400.0
