[2026-01-08 15:22:13] project: cartpole_mcts
[2026-01-08 15:22:13] logger/dir: logger
[2026-01-08 15:22:13] env/max_episode_steps: 500
[2026-01-08 15:22:13] mcts/iterations: 40
[2026-01-08 15:22:13] mcts/rollout_cap: 30.0
[2026-01-08 15:22:13] export/video_folder: video
[2026-01-08 15:22:13] session_id: silent_feather_af76
[2026-01-08 15:22:13] project: cartpole_mcts
[2026-01-08 15:22:13] logger/dir: logger
[2026-01-08 15:22:13] env/max_episode_steps: 500
[2026-01-08 15:22:13] mcts/iterations: 40
[2026-01-08 15:22:13] mcts/rollout_cap: 30.0
[2026-01-08 15:22:13] export/video_folder: video
[2026-01-08 15:22:14] [50]: reward=1.0, ep_return=50.0, root_visits=40, root_mean=19.325, best_q=19.381
[2026-01-08 15:22:14] [51]: reward=1.0, ep_return=51.0, root_visits=40, root_mean=18.250, best_q=18.410
[2026-01-08 15:22:14] [52]: reward=1.0, ep_return=52.0, root_visits=40, root_mean=17.925, best_q=18.154
[2026-01-08 15:22:14] [53]: reward=1.0, ep_return=53.0, root_visits=40, root_mean=18.700, best_q=18.923
[2026-01-08 15:22:14] [54]: reward=1.0, ep_return=54.0, root_visits=40, root_mean=17.125, best_q=17.270
[2026-01-08 15:22:14] [55]: reward=1.0, ep_return=55.0, root_visits=40, root_mean=16.750, best_q=17.265
[2026-01-08 15:22:14] [56]: reward=1.0, ep_return=56.0, root_visits=40, root_mean=15.475, best_q=15.686
[2026-01-08 15:22:14] [57]: reward=1.0, ep_return=57.0, root_visits=40, root_mean=20.025, best_q=20.205
[2026-01-08 15:22:14] [58]: reward=1.0, ep_return=58.0, root_visits=40, root_mean=16.625, best_q=16.853
[2026-01-08 15:22:14] [59]: reward=1.0, ep_return=59.0, root_visits=40, root_mean=16.200, best_q=16.316
[2026-01-08 15:22:14] [60]: reward=1.0, ep_return=60.0, root_visits=40, root_mean=18.425, best_q=18.667
[2026-01-08 15:22:14] [61]: reward=1.0, ep_return=61.0, root_visits=40, root_mean=18.175, best_q=18.968
[2026-01-08 15:22:14] [62]: reward=1.0, ep_return=62.0, root_visits=40, root_mean=16.500, best_q=16.744
[2026-01-08 15:22:14] [63]: reward=1.0, ep_return=63.0, root_visits=40, root_mean=17.825, best_q=18.108
[2026-01-08 15:22:14] [64]: reward=1.0, ep_return=64.0, root_visits=40, root_mean=17.525, best_q=17.879
[2026-01-08 15:22:14] [65]: reward=1.0, ep_return=65.0, root_visits=40, root_mean=18.500, best_q=18.639
